Date,Time (UTC),User,Utterance
2022-07-16,15:56:51,Livida_,YALL SHE'S LIVE 😭
2022-07-16,15:56:51,BlimBlum,daphSit
2022-07-16,15:56:52,Leilax_,daphSit
2022-07-16,15:56:57,officiallyrobot,LIVE POGGERS
2022-07-16,15:56:58,StreamElements POGCRAZY YOU CAN LINK YOUR AMAZON PRIME AND GET A SUB FOR FREE https,POGCRAZY YOU CAN LINK YOUR AMAZON PRIME AND GET A SUB FOR FREE https://amzn.to/3pmtB6L POGCRAZY
2022-07-16,15:57:03,niliahk,damn
2022-07-16,15:57:04,rosemiruku,daphSit
2022-07-16,15:57:04,abandonedtamagotchi,subathon  POGCRAZY
2022-07-16,15:57:05,indeboss,daphSit
2022-07-16,15:57:06,Leilax_,daphSit 󠀀
2022-07-16,15:57:07,Royalsara3,Royalsara3 subscribed at Tier 1. They've subscribed for 18 months! The witch is back
2022-07-16,15:57:07,Cchreys,wtf daph2head
2022-07-16,15:57:09,Youoh98,daphSit
2022-07-16,15:57:10,Metr0Moon,YAY Caffeine we freaking luv u
2022-07-16,15:57:11,l137jdn,PogO
2022-07-16,15:57:12,Stikz115,LULW
2022-07-16,15:57:15,aran_k7,secret stream Shush
2022-07-16,15:57:17,keibot_,daphCheer
2022-07-16,15:57:19,indeboss,PogYou
2022-07-16,15:57:20,abandonedtamagotchi,PogYou
2022-07-16,15:57:20,dumbmb,WOOOOOOO daphJR
2022-07-16,15:57:22,NMGIX,so uhm uhh art looking shit you might want to restart 4WeirdW
2022-07-16,15:57:22,noemii,ppPoof
2022-07-16,15:57:23,ssaikoku,PogYou
2022-07-16,15:57:25,wallcreeperbirb,daphCheer
2022-07-16,15:57:25,mussumburzum,PogYou
2022-07-16,15:57:25,Coffebara,daphCheer secret stream
2022-07-16,15:57:26,Leilax_,OWNED BY TEA KEKW
2022-07-16,15:57:26,Stikz115,daphYUMP bonus stweam
2022-07-16,15:57:28,raxell88,PogYou
2022-07-16,15:57:32,steamedf1sh,PogYou
2022-07-16,15:57:32,kitterene,daphCheer
2022-07-16,15:57:32,churomuuu,BogU DAY STREAM
2022-07-16,15:57:33,dongerdays,GIGADAPH
2022-07-16,15:57:34,FighterOfTheNightman,peepoHey
2022-07-16,15:57:34,xMococo,xMococo subscribed with Prime. They've subscribed for 8 months! 
2022-07-16,15:57:35,nc102_,????
2022-07-16,15:57:36,noemii,ppPoof bye oc
2022-07-16,15:57:37,lonelyintrovert0,secret stream BogU
2022-07-16,15:57:37,bluedemonman,pussy 2 daphCheer
2022-07-16,15:57:39,Youoh98,POGCRAZY
2022-07-16,15:57:40,abandonedtamagotchi,no shooting billys too BogU
2022-07-16,15:57:40,d1nkdonk,why you back PogO
2022-07-16,15:57:40,ssaikoku,hello daph n chat  peepoHey
2022-07-16,15:57:41,t0rt1ll3r4,daphPotion
2022-07-16,15:57:42,starflames,flesh tuber turned vtube
2022-07-16,15:57:44,aran_k7,daphQuack
2022-07-16,15:57:44,Stikz115,gn noemi
2022-07-16,15:57:44,Scannor,where's the art PogO
2022-07-16,15:57:45,dumbmb,DuckerZ
2022-07-16,15:57:46,kitterene,daphCheer rare stream
2022-07-16,15:57:46,NMGIX,daphW
2022-07-16,15:57:46,mussumburzum,daphT
2022-07-16,15:57:46,ackwell,wtf is this im scared pepeMeltdown why
2022-07-16,15:57:47,avaloin,POGCRAZY stream 2
2022-07-16,15:57:47,drownfeeling,pussy 2
2022-07-16,15:57:47,ArmandSawCleaver,BogU secret stream
2022-07-16,15:57:48,rosemiruku,like a duck
2022-07-16,15:57:48,yewbum,pretty giga BogU
2022-07-16,15:57:48,Dashwastaken,daphW
2022-07-16,15:57:49,leonorf8,pepeW stream 2
2022-07-16,15:57:49,dlMino,daphHide
2022-07-16,15:57:54,xXx_bellend_xXx,daphSus
2022-07-16,15:57:55,dlMino,daphHide no one is here
2022-07-16,15:57:55,aran_k7,go home
2022-07-16,15:57:56,noemii,"@Stikz115, Its 6pm wtf"
2022-07-16,15:57:56,Ad_Trip,PogO you are filling up Oc timeslot
2022-07-16,15:57:57,leechee393,PogO GO OFFLINE
2022-07-16,15:57:57,01lovecity,POGCRAZY 2
2022-07-16,15:57:58,kidkugo,wuts up vtuber 39
2022-07-16,15:57:58,lonelyintrovert0,daphSus
2022-07-16,15:57:59,l137jdn,your neighbour cant complain about your noise during day streams now
2022-07-16,15:57:59,02wookk,peepoArrive stream 2
2022-07-16,15:58:00,Nick__Knack,daphW
2022-07-16,15:58:00,Youoh98,DuckerZ
2022-07-16,15:58:00,leonorf8,daphW
2022-07-16,15:58:00,jhkyeong,Stream POGGERS
2022-07-16,15:58:01,indeboss,daphW
2022-07-16,15:58:01,InstantRamen,BogU more stream
2022-07-16,15:58:01,dear_jaein,POGCRAZY
2022-07-16,15:58:02,다프니,Stare
2022-07-16,15:58:04,Coffebara,daphSit
2022-07-16,15:58:05,ssaikoku,daphW
2022-07-16,15:58:07,raxell88,daphWiggle
2022-07-16,15:58:08,diopioid,so about that washing ass stream?
2022-07-16,15:58:09,drownfeeling,is thar ur neighbor?
2022-07-16,15:58:10,KhalIidinho,PUSSY 2
2022-07-16,15:58:11,mussumburzum,daphW
